math,eng,state,years
552,767,Georgia,2019
679,679,Arkansas,2019
535,385,Rhode Island,2019
562,498,Massachusetts,2020
297,672,Maryland,2021
395,338,Missouri,2020
711,727,California,2019
541,310,Maryland,2021
487,782,Alabama,2020
549,433,Florida,2019
382,661,North Carolina,2019
690,477,Idaho,2020
261,451,Arizona,2021
222,799,Washington,2020
276,296,West Virginia,2021
777,517,Mississippi,2019
629,550,Minnesota,2021
711,776,Rhode Island,2021
725,586,Washington,2019
238,789,Alaska,2020
222,467,Nevada,2020
582,786,New Hampshire,2021
296,658,New Jersey,2019
269,218,Delaware,2020
240,625,West Virginia,2020
665,636,Indiana,2019
750,696,Utah,2021
569,741,Hawaii,2020
779,776,Arkansas,2020
581,789,California,2021
741,416,Wyoming,2020
447,385,Nebraska,2021
329,680,Georgia,2020
751,269,Mississippi,2020
322,732,Mississippi,2019
328,628,Massachusetts,2019
358,476,Alabama,2021
658,621,West Virginia,2021
246,357,Alabama,2021
217,725,Georgia,2021
314,580,Minnesota,2021
413,684,Minnesota,2020
574,730,Kentucky,2020
560,498,Illinois,2019
559,541,Montana,2021
367,490,West Virginia,2019
667,211,Idaho,2021
529,545,Alaska,2021
544,379,Rhode Island,2021
788,793,Kentucky,2020
534,729,California,2021
628,385,New Jersey,2020
779,660,Alabama,2021
721,464,Florida,2021
419,498,North Carolina,2020
259,539,Wyoming,2021
426,780,Florida,2020
669,420,Washington,2019
239,202,Nebraska,2020
450,538,Delaware,2019
206,507,Mississippi,2021
664,203,Kansas,2019
512,726,South Dakota,2020
755,291,Iowa,2021
558,359,Oregon,2019
387,382,Illinois,2020
344,495,North Dakota,2021
576,377,Colorado,2020
693,490,Missouri,2020
258,492,Georgia,2019
777,689,Rhode Island,2021
528,348,Massachusetts,2020
373,246,Wisconsin,2019
796,588,Louisiana,2021
392,518,Vermont,2020
250,316,Missouri,2019
408,481,Illinois,2021
380,329,Washington,2019
324,338,Illinois,2021
451,229,Wisconsin,2020
390,325,California,2021
354,728,Montana,2019
624,418,New Mexico,2019
659,489,Connecticut,2020
687,442,Washington,2020
253,241,Michigan,2021
311,505,North Carolina,2020
618,285,Utah,2020
332,327,Vermont,2021
517,699,New Mexico,2021
507,320,Alabama,2021
609,615,Utah,2020
475,331,Nebraska,2020
350,703,Virginia,2019
634,584,Delaware,2019
598,289,Alaska,2019
385,253,New Jersey,2020
763,430,Florida,2020
325,643,Montana,2020
367,730,Delaware,2021
601,590,Kansas,2019
580,315,New Mexico,2020
347,589,Alabama,2021
206,714,Hawaii,2021
543,200,Virginia,2019
792,788,Louisiana,2021
204,208,Michigan,2019
249,609,Kentucky,2021
537,754,Hawaii,2020
316,793,Oregon,2020
600,721,Texas,2020
759,428,Georgia,2019
421,410,Louisiana,2020
468,474,New Mexico,2020
414,208,Ohio,2021
359,541,Massachusetts,2020
267,292,Kentucky,2019
599,651,Montana,2021
266,252,Florida,2019
631,524,Minnesota,2019
383,518,North Carolina,2019
740,695,Georgia,2020
349,751,Oregon,2020
524,684,North Carolina,2021
433,282,Georgia,2021
677,529,Tennessee,2021
354,216,Oregon,2021
556,706,Wisconsin,2021
475,649,Hawaii,2021
476,434,Massachusetts,2020
773,368,Alabama,2019
716,787,Nebraska,2019
579,353,Ohio,2019
665,408,New Jersey,2019
620,383,Mississippi,2020
584,474,California,2019
246,568,Alaska,2020
768,554,Michigan,2020
396,589,Kentucky,2019
265,677,North Dakota,2020
768,656,New York,2021
513,457,Alabama,2020
710,423,South Carolina,2019
245,699,South Carolina,2020
336,676,North Dakota,2020
360,260,Pennsylvania,2019
459,638,Maryland,2020
569,611,Oklahoma,2021
381,792,Hawaii,2019
788,202,Illinois,2021
788,702,Maine,2020
243,371,Indiana,2019
614,681,Washington,2019
618,433,Tennessee,2020
692,469,Georgia,2020
742,672,Idaho,2019
669,285,Texas,2020
581,537,Kentucky,2019
584,332,West Virginia,2019
273,682,Maine,2019
674,262,Virginia,2021
441,622,Louisiana,2021
510,661,Alabama,2019
726,338,Ohio,2019
619,538,Virginia,2019
361,279,California,2020
251,405,Hawaii,2021
547,415,Alaska,2020
571,526,Massachusetts,2020
765,574,Iowa,2021
269,390,Minnesota,2019
627,207,Pennsylvania,2020
383,241,Missouri,2020
628,366,New Hampshire,2019
699,382,Hawaii,2020
327,563,Hawaii,2020
784,636,Illinois,2021
398,337,Rhode Island,2020
697,484,California,2021
591,418,Delaware,2020
230,791,Nevada,2019
791,303,Maine,2020
755,306,South Carolina,2021
776,222,Minnesota,2019
798,744,Washington,2021
476,435,Pennsylvania,2019
366,710,Kentucky,2019
445,583,New Mexico,2020
259,468,Maryland,2020
223,588,Colorado,2020
604,617,West Virginia,2020
496,574,Georgia,2020
222,553,North Dakota,2019
496,320,Illinois,2021
670,711,Texas,2021
718,547,North Dakota,2019
592,229,Illinois,2019
388,379,Georgia,2021
634,691,North Dakota,2019
393,477,Maine,2020
215,749,Arkansas,2021
796,697,Texas,2020
591,682,Virginia,2019
297,291,South Dakota,2020
244,504,Florida,2021
662,259,Florida,2020
297,676,Utah,2020
657,705,Pennsylvania,2021
200,431,North Carolina,2020
226,226,Indiana,2021
788,637,Wyoming,2019
202,291,Pennsylvania,2019
274,288,Kansas,2021
627,259,Delaware,2020
733,270,New York,2020
336,516,South Dakota,2021
452,639,Rhode Island,2020
492,683,Arizona,2019
408,635,Massachusetts,2019
598,435,California,2019
482,613,Oklahoma,2019
534,300,California,2019
579,375,Oregon,2020
564,262,Illinois,2019
211,707,West Virginia,2019
217,476,Massachusetts,2021
661,791,Hawaii,2019
425,402,Kansas,2019
452,353,New Jersey,2020
664,617,South Dakota,2019
712,510,California,2021
689,771,Wisconsin,2020
381,509,Louisiana,2020
359,558,Florida,2020
379,248,Pennsylvania,2020
513,299,South Carolina,2020
547,599,Oklahoma,2021
733,655,New York,2020
634,276,Oklahoma,2021
529,384,Missouri,2021
554,535,Wyoming,2021
395,220,South Carolina,2021
221,255,Utah,2021
738,292,Maryland,2019
595,736,Texas,2021
783,662,Georgia,2019
263,731,Indiana,2020
586,229,California,2020
625,224,Oklahoma,2021
684,371,Colorado,2020
458,337,Rhode Island,2019
719,683,Indiana,2020
334,445,Arizona,2019
212,751,Arkansas,2021
389,627,Ohio,2020
403,280,Georgia,2020
345,583,Texas,2021
305,793,Delaware,2020
671,429,Missouri,2021
247,684,Wyoming,2021
521,784,North Carolina,2019
570,608,Pennsylvania,2021
564,497,North Carolina,2021
654,453,Rhode Island,2021
218,268,Utah,2020
519,715,Wyoming,2019
275,240,Oklahoma,2020
269,699,Florida,2019
373,668,New Hampshire,2021
315,525,Oregon,2020
690,790,Missouri,2019
529,329,Rhode Island,2020
739,625,New York,2021
618,687,Rhode Island,2020
564,271,Delaware,2021
234,511,Delaware,2020
478,763,Mississippi,2020
435,354,Texas,2020
679,433,Alabama,2020
707,607,Nevada,2019
704,226,Hawaii,2020
662,231,California,2020
619,690,Minnesota,2021
322,576,Florida,2020
421,700,Maine,2020
242,251,Wisconsin,2019
213,261,New Hampshire,2019
307,646,Wyoming,2021
641,373,Ohio,2021
252,320,Ohio,2019
600,776,Maine,2021
564,583,Kentucky,2021
403,594,New Jersey,2021
475,230,Nevada,2021
249,782,Georgia,2021
632,728,Iowa,2020
747,555,North Carolina,2019
299,276,Indiana,2021
517,689,New Mexico,2021
316,275,Missouri,2020
213,709,Maryland,2020
699,404,Maine,2019
707,375,Idaho,2021
269,456,North Dakota,2020
448,293,Georgia,2021
418,640,Connecticut,2019
244,435,Maine,2020
395,422,Maine,2019
731,491,Iowa,2021
493,416,Oklahoma,2020
240,256,Ohio,2021
590,608,California,2019
491,202,Florida,2019
763,213,Tennessee,2021
454,354,West Virginia,2020
630,303,Colorado,2020
287,352,Indiana,2020
795,569,New York,2020
342,752,Arizona,2021
540,707,Illinois,2021
278,347,Indiana,2021
335,490,Tennessee,2021
493,532,Oklahoma,2019
592,225,Alabama,2020
302,710,West Virginia,2019
215,684,Arkansas,2021
686,498,Alaska,2020
583,556,New York,2021
667,410,Massachusetts,2019
252,679,Wyoming,2021
615,597,New Hampshire,2020
326,267,New York,2021
799,398,Michigan,2020
450,287,Oregon,2019
363,526,Colorado,2020
343,697,Hawaii,2021
778,470,North Carolina,2021
289,593,Oregon,2020
727,231,Nebraska,2020
687,714,Ohio,2020
269,791,Iowa,2020
456,387,Vermont,2019
208,756,New York,2021
336,274,Washington,2021
774,410,Colorado,2021
491,765,Hawaii,2019
482,434,Pennsylvania,2021
650,690,Tennessee,2021
504,315,Maryland,2020
270,696,Iowa,2019
260,332,Connecticut,2020
432,537,Vermont,2019
644,555,Nebraska,2019
730,211,South Carolina,2020
484,248,Maryland,2019
461,251,Tennessee,2021
474,296,New Hampshire,2019
243,589,Texas,2019
501,289,Utah,2020
653,519,Oregon,2021
357,281,Delaware,2021
477,231,Louisiana,2020
651,501,Utah,2019
761,765,Idaho,2021
756,762,Florida,2019
513,633,Delaware,2021
584,391,Mississippi,2020
360,339,Massachusetts,2019
516,213,Connecticut,2021
269,213,Maryland,2019
291,573,Montana,2019
672,637,Maryland,2020
454,688,Iowa,2021
419,323,California,2021
574,503,Oregon,2021
231,303,Iowa,2021
620,647,Alaska,2020
475,531,Wyoming,2019
224,678,Arizona,2019
582,226,Rhode Island,2019
727,655,Florida,2020
466,263,Alabama,2020
356,413,South Dakota,2019
615,768,Wyoming,2020
476,745,Pennsylvania,2019
604,509,Florida,2020
670,393,Kansas,2020
506,679,North Dakota,2020
749,552,Nebraska,2020
708,410,Illinois,2021
713,611,Louisiana,2021
779,492,North Dakota,2021
568,284,Idaho,2019
516,650,New York,2020
558,777,Connecticut,2021
626,373,Mississippi,2019
595,783,Idaho,2019
313,758,Hawaii,2019
673,287,Alabama,2021
793,690,North Dakota,2019
418,275,Tennessee,2021
466,280,Alaska,2019
326,353,Rhode Island,2021
614,211,Wisconsin,2020
497,236,Virginia,2021
222,742,South Dakota,2020
686,237,North Carolina,2021
232,366,Minnesota,2020
378,550,Hawaii,2020
657,454,Washington,2020
203,327,New Mexico,2019
451,422,Alaska,2021
643,431,Vermont,2020
530,666,Oregon,2019
735,506,Michigan,2019
365,416,Idaho,2019
630,439,New Mexico,2019
776,389,West Virginia,2021
277,357,Idaho,2019
298,205,Alaska,2019
226,712,New Jersey,2020
410,546,Tennessee,2019
662,474,Iowa,2020
649,321,Ohio,2021
547,514,New Hampshire,2021
563,439,Kentucky,2021
762,655,Rhode Island,2020
577,202,New Mexico,2019
245,604,Wyoming,2021
661,523,Virginia,2019
330,534,Hawaii,2021
272,390,Hawaii,2020
359,452,Missouri,2021
387,346,Ohio,2021
618,779,Montana,2019
394,548,Maine,2020
555,626,South Dakota,2019
463,254,Wisconsin,2020
669,362,New Mexico,2020
582,290,Arkansas,2020
522,353,Wisconsin,2019
769,792,Idaho,2020
589,434,Connecticut,2019
547,603,Alabama,2019
646,601,Washington,2020
329,581,Hawaii,2021
569,419,Maryland,2021
649,481,West Virginia,2020
468,565,South Carolina,2021
371,369,Wisconsin,2019
245,632,Vermont,2020
710,361,South Carolina,2020
453,797,Ohio,2021
388,622,Louisiana,2021
655,274,Tennessee,2021
471,213,Virginia,2021
770,218,South Dakota,2020
649,633,Maine,2019
616,241,California,2021
763,317,New York,2019
518,593,North Carolina,2021
414,324,Washington,2021
329,346,Kansas,2021
515,745,South Carolina,2019
205,344,New Jersey,2020
277,455,North Carolina,2020
649,331,West Virginia,2019
250,285,Massachusetts,2020
385,744,Texas,2021
755,469,Michigan,2019
480,218,West Virginia,2021
486,391,Louisiana,2021
607,457,Oregon,2021
729,554,Illinois,2021
544,260,Nevada,2021
222,768,Maine,2019
627,542,Alaska,2019
237,604,Alaska,2021
714,623,Arkansas,2020
306,397,Wisconsin,2019
360,380,Pennsylvania,2021
679,630,New Jersey,2020
397,654,Utah,2020
302,645,Maine,2020
319,547,Hawaii,2021
336,740,Michigan,2021
433,517,North Dakota,2020
453,467,Vermont,2020
689,440,New Jersey,2020
633,519,Oregon,2019
314,379,Indiana,2019
339,651,Missouri,2020
770,785,Kansas,2021
406,667,Missouri,2019
544,426,Vermont,2021
776,579,Illinois,2019
375,439,Arizona,2019
274,742,Arkansas,2020
220,495,Tennessee,2021
209,442,Virginia,2021
421,254,North Dakota,2020
612,251,New Jersey,2019
613,676,Wisconsin,2019
705,462,Nevada,2019
223,446,Nebraska,2021
424,677,Indiana,2019
477,396,New Mexico,2019
430,455,Illinois,2019
510,457,Nebraska,2020
411,500,Pennsylvania,2020
746,748,Iowa,2021
544,259,Utah,2020
336,256,Hawaii,2020
474,247,Delaware,2021
551,342,New Jersey,2020
338,414,Alaska,2020
349,762,Texas,2019
371,733,Vermont,2020
325,797,Delaware,2019
758,488,Ohio,2020
373,632,South Dakota,2020
454,362,Wisconsin,2019
594,360,Maryland,2021
213,328,Arkansas,2021
397,759,Michigan,2019
247,446,Iowa,2021
600,646,Wyoming,2019
225,686,Massachusetts,2020
563,386,Vermont,2019
247,277,Massachusetts,2019
589,733,Kentucky,2020
351,562,Virginia,2020
708,767,Idaho,2019
516,342,Georgia,2019
754,590,Georgia,2020
236,393,New York,2021
787,295,South Carolina,2020
695,275,Michigan,2021
413,292,Michigan,2020
614,318,Nebraska,2019
674,783,North Carolina,2019
751,640,New Hampshire,2019
561,671,Maine,2020
674,392,Vermont,2020
415,508,Vermont,2021
691,661,Mississippi,2021
711,749,Idaho,2020
653,547,Washington,2019
208,679,Delaware,2020
634,299,Arizona,2021
613,217,Utah,2020
482,749,Indiana,2019
533,229,Nebraska,2019
508,785,Mississippi,2021
759,471,Texas,2019
257,692,Pennsylvania,2019
622,377,Montana,2019
736,430,Oregon,2021
374,613,Utah,2019
644,397,New Jersey,2021
608,451,Tennessee,2021
221,701,West Virginia,2021
751,231,Colorado,2021
280,494,North Dakota,2019
383,702,Wisconsin,2020
790,420,New Mexico,2021
692,613,Kansas,2019
468,614,Iowa,2020
486,217,Iowa,2021
336,332,Virginia,2019
662,454,North Carolina,2019
364,791,Montana,2020
295,247,Washington,2020
777,584,Utah,2020
372,256,Delaware,2021
600,493,Idaho,2019
588,266,Oklahoma,2019
620,468,Ohio,2021
581,552,Indiana,2020
239,423,New York,2019
208,253,Florida,2021
551,321,Alaska,2019
213,662,New York,2021
556,470,Montana,2020
659,396,Georgia,2021
546,524,Oregon,2020
627,423,Arizona,2019
668,674,Delaware,2021
242,377,North Carolina,2021
512,315,South Carolina,2019
560,269,Massachusetts,2019
205,733,Indiana,2020
447,316,Michigan,2021
309,427,New York,2020
290,207,Oregon,2019
747,595,Wyoming,2020
508,561,California,2021
371,262,Tennessee,2020
493,202,Washington,2020
698,294,Oregon,2021
332,447,Kansas,2021
689,757,Idaho,2021
386,740,Arizona,2019
310,673,Pennsylvania,2019
464,320,Rhode Island,2019
706,787,Arkansas,2021
374,362,West Virginia,2021
467,654,Maryland,2021
663,789,Iowa,2020
280,449,Alabama,2019
577,665,Colorado,2021
393,707,Idaho,2021
297,232,Pennsylvania,2020
221,291,California,2021
625,686,Nebraska,2020
253,329,Missouri,2021
525,402,Michigan,2019
724,390,Massachusetts,2020
515,415,Massachusetts,2021
360,615,Minnesota,2020
752,725,Kansas,2019
278,210,West Virginia,2019
495,296,Pennsylvania,2019
540,534,New York,2021
589,688,Delaware,2021
746,565,Kansas,2019
717,459,Utah,2021
473,701,South Dakota,2021
335,727,New Hampshire,2019
393,482,South Carolina,2021
268,664,Arkansas,2020
270,547,Georgia,2020
353,715,Kentucky,2020
753,674,Texas,2021
434,699,Oklahoma,2021
428,767,North Carolina,2021
236,649,Oklahoma,2019
203,276,Delaware,2019
295,533,Missouri,2020
272,656,Colorado,2020
660,316,Illinois,2019
362,535,Tennessee,2019
715,664,Tennessee,2019
507,410,Illinois,2021
686,308,Maryland,2021
659,439,Minnesota,2019
688,522,California,2020
601,297,Tennessee,2020
319,294,Michigan,2019
690,292,Montana,2019
792,785,Wisconsin,2020
257,369,Michigan,2019
499,739,Wisconsin,2020
297,672,Rhode Island,2021
665,780,Illinois,2019
240,606,Alabama,2020
451,623,Georgia,2021
584,580,Oregon,2019
335,288,Arizona,2020
503,326,Wyoming,2019
297,368,Arizona,2020
750,574,Mississippi,2021
284,635,Connecticut,2021
748,323,Nevada,2019
354,524,Mississippi,2019
433,513,Maryland,2021
735,503,Maryland,2019
629,533,Texas,2020
480,460,Missouri,2020
364,639,Rhode Island,2021
516,420,Colorado,2021
580,733,Arkansas,2021
299,767,Oregon,2019
639,226,Washington,2021
457,288,Kansas,2021
665,780,New Jersey,2021
226,577,Connecticut,2021
298,724,Texas,2019
675,691,Maine,2020
783,364,Wisconsin,2019
437,444,Pennsylvania,2021
580,224,Michigan,2019
487,296,Indiana,2021
435,699,Wyoming,2021
544,243,Florida,2019
251,748,Maine,2021
656,579,California,2019
300,669,Minnesota,2019
421,672,North Carolina,2021
390,792,Missouri,2019
394,444,Minnesota,2021
332,446,Connecticut,2019
479,547,Maine,2021
774,465,Nebraska,2019
780,657,Massachusetts,2019
684,520,Minnesota,2020
376,785,Kentucky,2019
391,321,Virginia,2019
656,562,Virginia,2020
777,222,Oregon,2021
280,448,Indiana,2020
619,343,Georgia,2021
268,501,Maine,2020
338,398,Rhode Island,2021
249,486,Nevada,2021
616,495,Virginia,2020
663,489,New Hampshire,2020
721,407,Delaware,2020
772,669,Pennsylvania,2021
465,446,Georgia,2019
595,461,Mississippi,2021
588,243,Tennessee,2019
300,284,Hawaii,2019
333,607,Kentucky,2019
425,771,Minnesota,2019
568,519,Idaho,2021
345,411,Rhode Island,2019
563,776,Rhode Island,2021
525,605,Nevada,2019
743,649,Maryland,2021
374,584,Alabama,2021
449,282,Hawaii,2021
343,777,Virginia,2020
298,777,Indiana,2020
528,305,California,2019
728,707,Connecticut,2021
221,226,Nebraska,2020
620,452,Montana,2021
704,529,Minnesota,2020
466,744,New Hampshire,2019
470,430,Vermont,2020
643,342,Mississippi,2020
298,793,Mississippi,2021
490,630,Ohio,2021
534,303,New Hampshire,2020
682,388,Pennsylvania,2019
673,370,South Carolina,2021
700,576,Florida,2021
720,792,Utah,2021
714,554,Rhode Island,2019
665,496,New Hampshire,2020
769,591,Montana,2020
288,293,Utah,2019
277,449,Louisiana,2020
443,360,Indiana,2019
293,399,Delaware,2020
342,352,Mississippi,2019
724,447,Missouri,2019
707,591,Montana,2019
285,621,Arkansas,2020
799,384,Nevada,2021
559,593,Ohio,2021
625,454,Utah,2020
451,596,Texas,2021
675,371,Connecticut,2021
715,567,Mississippi,2021
381,382,West Virginia,2021
529,279,Idaho,2021
348,371,Wisconsin,2021
286,326,Wyoming,2020
425,338,California,2021
754,363,Missouri,2021
219,650,West Virginia,2019
796,610,Ohio,2021
432,776,Kentucky,2020
632,800,Nebraska,2021
538,287,Vermont,2021
766,362,Maryland,2021
389,323,Minnesota,2019
355,533,Illinois,2019
487,712,Maine,2021
684,755,New York,2021
780,577,Tennessee,2020
299,582,Oklahoma,2019
763,460,Virginia,2021
241,715,Oregon,2021
353,681,Oregon,2019
290,685,Connecticut,2019
363,325,Virginia,2020
364,302,Utah,2021
281,200,West Virginia,2021
384,374,Nebraska,2020
357,798,Ohio,2019
616,705,Wisconsin,2019
257,245,Virginia,2021
753,379,Vermont,2020
340,343,West Virginia,2019
631,776,Louisiana,2021
465,423,Wyoming,2021
714,260,Texas,2019
737,553,Arkansas,2019
497,740,Wisconsin,2021
692,366,Michigan,2020
711,718,Georgia,2019
713,454,Delaware,2020
525,793,Colorado,2019
683,672,California,2020
276,614,Alaska,2020
438,329,South Dakota,2019
667,689,Florida,2021
463,369,Arizona,2021
215,559,Texas,2021
609,669,Wisconsin,2021
631,697,Idaho,2021
475,792,Kentucky,2019
591,701,Connecticut,2021
497,679,West Virginia,2020
647,571,Arkansas,2021
777,362,Arkansas,2020
703,596,North Dakota,2020
242,784,Kansas,2020
436,206,Idaho,2019
757,677,New Mexico,2021
593,291,Rhode Island,2021
676,526,Iowa,2019
269,524,Massachusetts,2019
245,282,Missouri,2020
651,691,North Dakota,2019
738,302,New York,2020
374,518,Missouri,2019
794,648,Montana,2021
774,224,Pennsylvania,2020
625,758,Connecticut,2021
321,370,Wisconsin,2019
337,567,Wisconsin,2021
334,396,Indiana,2021
763,330,Mississippi,2021
384,294,Illinois,2021
745,468,Iowa,2020
275,744,New Jersey,2021
380,642,Wyoming,2020
461,311,Louisiana,2021
498,584,Washington,2021
755,291,Kansas,2021
401,763,Iowa,2020
376,667,Alaska,2020
793,505,California,2019
309,464,Pennsylvania,2021
510,621,Georgia,2020
545,766,Ohio,2021
531,447,Texas,2021
513,304,Michigan,2021
394,200,New Jersey,2020
526,341,Ohio,2021
531,262,Michigan,2020
573,285,Missouri,2021
599,760,Alaska,2020
261,760,South Dakota,2021
313,659,Iowa,2021
701,293,Maryland,2021
749,640,Michigan,2020
439,529,New Mexico,2019
388,759,New Mexico,2020
595,212,Massachusetts,2021
564,473,Arizona,2019
368,209,Delaware,2020
755,346,Connecticut,2020
557,711,Alabama,2020
440,547,Utah,2020
338,408,Idaho,2020
406,296,Minnesota,2020
398,691,Montana,2021
766,518,Delaware,2021
749,400,Mississippi,2019
649,783,Vermont,2020
295,565,Mississippi,2020
213,714,Wyoming,2020
501,439,Wisconsin,2019
722,527,Ohio,2020
402,758,New Mexico,2021
589,349,Washington,2019
721,721,Wyoming,2020
305,325,Montana,2020
521,631,Wyoming,2021
394,661,Utah,2020
411,749,Ohio,2019
667,760,Kansas,2019
371,201,Kentucky,2019
246,473,Iowa,2020
753,282,Michigan,2020
716,754,New York,2019
746,588,Nebraska,2021
474,289,Texas,2021
554,456,Indiana,2020
675,538,Texas,2019
408,289,Missouri,2021
507,692,California,2021
227,588,Iowa,2020
529,715,Arkansas,2021
359,466,South Carolina,2019
498,760,Minnesota,2019
722,545,New Jersey,2021
622,702,Illinois,2020
719,586,New Mexico,2019
235,796,Nevada,2020
369,483,Texas,2019
516,687,New Hampshire,2019
305,244,Pennsylvania,2021
242,569,Illinois,2020
369,501,Alaska,2019
589,730,Utah,2020
413,615,New Jersey,2020
707,608,Hawaii,2021
675,351,Montana,2019
264,391,Washington,2020
675,334,Oklahoma,2019
349,650,West Virginia,2020
556,594,Pennsylvania,2021
437,793,New Hampshire,2020
735,363,Ohio,2020
623,672,New Mexico,2019
749,377,Ohio,2021
330,715,Connecticut,2019
535,211,South Dakota,2021
397,559,Maryland,2019
667,543,Arizona,2020
514,372,Montana,2021
220,467,Kentucky,2020
571,502,Washington,2020
663,752,Louisiana,2020
723,515,Tennessee,2019
720,797,Nevada,2019
571,257,Montana,2020
631,757,New York,2020
320,676,Texas,2021
602,589,Tennessee,2021
207,303,Nebraska,2019
753,731,Ohio,2019
337,620,New Jersey,2020
765,552,Arkansas,2021
636,551,Wisconsin,2020
230,499,Ohio,2020
405,471,Alaska,2019
534,586,Illinois,2019
636,517,Kentucky,2020
434,381,New Jersey,2020
270,733,Tennessee,2019
713,738,California,2021
743,258,Alabama,2019
628,242,Minnesota,2020
304,475,Virginia,2020
635,772,North Dakota,2021
728,300,Tennessee,2021
794,532,Oklahoma,2021
592,748,California,2019
781,629,Massachusetts,2020
580,249,Wisconsin,2020
720,344,Kansas,2021
249,446,Pennsylvania,2020
371,392,Hawaii,2021
316,533,Arizona,2019
728,691,Illinois,2020
747,315,Oklahoma,2019
